University,Department,Overall_Pay,LW_Ratio,Academic_Year,Program_Year,Department_clean
University of Michigan - Ann Arbor (UM),Aerospace Department,32664,1.42,2020-2021,1st,aerospace
University of California - Davis (UCD),Biophysics,32000,1.33,2020-2021,1st,physics
Massachusetts Institute of Technology (MIT),Physics,41133,1.47,2020-2021,5th,physics
Texas Tech University (TTU),Computer Science PhD,29000,1.43,2020-2021,1st,computer science
University of Utah,Computer Science,29100,1.31,2020-2021,NA,computer science
Washington State University (WSU),Computer Science,24400,1.29,2019-2020,1st,computer science
University of Florida (UF),Geological Sciences,26780,1.18,2020-2021,1st,geoscience
Massachusetts Institute of Technology (MIT),NA,40000,1.43,2019-2020,1st,NA
University of North Texas (UNT),Accounting,22600,1.05,2020-2021,1st,accounting
Temple University (TU),Physics,28980,1.2,2019-2020,1st,physics
University of Notre Dame (ND),History,23000,1.12,2020-2021,4th,history
University of Michigan - Ann Arbor (UM),Aerospace,32700,1.42,2020-2021,NA,aerospace
University of Michigan - Ann Arbor (UM),Program in Biomedical Sciences,32739,1.42,2020-2021,1st,program in biomedical sciences
University of Michigan - Ann Arbor (UM),EE PhD,32668,1.42,2020-2021,4th,ee phd
Clemson University (CU),Computer Science,27000,1.3,2020-2021,1st,computer science
University of Michigan - Ann Arbor (UM),Biomedical Engineering,32670,1.42,2020-2021,1st,biomedical engineering
Southern Illinois University - Carbondale (SIUC),Phd Matketing,16000,0.8,2020-2021,1st,phd matketing
University of Michigan - Ann Arbor (UM),Mechanical Engineering,32670,1.42,2020-2021,1st,mechanical engineering
Northwestern University (NU),Health Sciences Integrated PhD Program,33504,1.38,2020-2021,1st,health
North Dakota State University (NDSU),Industrial and manufacturing engineering,12500,0.65,2019-2020,1st,industrial and manufacturing engineering
University of Wisconsin - Madison (UW),Chemistry,26450,1.16,2020-2021,1st,chemistry
University of Vermont (UVM),Natural Resources,24947,0.96,2019-2020,1st,natural resources
University of Cincinnati (UC),Political Science,17000,0.88,2020-2021,1st,political science
Colorado School of Mines,materials science,30000,1.34,2020-2021,1st,materials science
Florida International University (FIU),Management information systems,24810,1.04,2020-2021,1st,management information systems
University of Michigan - Ann Arbor (UM),earth and environmental science,32668,1.42,2020-2021,1st,geoscience
New York University (NYU),Economics (Stern),35950,1.21,2019-2020,1st,economics (stern)
University at Buffalo - SUNY,Political Science,32500,1.55,2020-2021,1st,political science
University of Florida (UF),Anthropology,31000,1.36,2020-2021,1st,anthropology
University of California - San Diego (UCSD),Bioinformatics and Systems Biology,33000,1.25,2019-2020,3rd,biology
University of Minnesota - Twin Cities (UM),Land and Atmospheric Science (LAAS),23935,1.04,2020-2021,1st,land and atmospheric science (laas)
Princeton University,philosophy,35500,1.4,2020-2021,1st,philosophy
Baylor University (BU),Mechanical Engineering,24000,1.21,2020-2021,1st,mechanical engineering
University of California - Davis (UCD),Psychology,26546,1.11,2020-2021,NA,psychology
Tulane University (TU),Biomedical engineering,30000,1.3,2020-2021,1st,biomedical engineering
Purdue University - West Lafayette,Economics,23500,1.11,2019-2020,1st,economics
Stony Brook University - SUNY,Civil Engineering,24000,0.86,2020-2021,1st,civil engineering
University of Michigan - Ann Arbor (UM),PIBS/ Microbiology & Immunology,32700,1.42,2020-2021,2nd,biology
National Institutes of Health (NIH),GPP,34900,1.15,2020-2021,1st,gpp
University of Minnesota - Twin Cities (UM),Health services Research,29000,1.27,2020-2021,1st,health
University of Delaware (UD),Chemistry and Biochemistry,25700,1.01,2019-2020,2nd,chemistry
University of Nevada - Reno (UNR),Computer Science,19000,0.9,2020-2021,2nd,computer science
Washington State University (WSU),Engineering and Computer Science,15000,0.79,2019-2020,2nd,computer science
Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering (ECE),22860,0.98,2020-2021,1st,computer science
University of Texas - Austin (UT),Mathematics,34000,1.49,2020-2021,1st,mathematics
University of Pennsylvania,Bioengineering,34500,1.43,2019-2020,3rd,bioengineering
University of Southern California (USC),Epidemiology,36000,1.39,2020-2021,1st,epidemiology
University of Florida (UF),College of Medicine,28400,1.25,2020-2021,1st,college of medicine
University of Wisconsin - Madison (UW),Nuclear Engineering,26533,1.16,2020-2021,1st,nuclear engineering
Stony Brook University - SUNY,Computer Science,20000,0.72,2020-2021,1st,computer science
New York University (NYU),stern business,36500,1.23,2020-2021,1st,business
University of Notre Dame (ND),Civil and Environmental Engineering and Earth Sciences,29720,1.45,2019-2020,1st,geoscience
University of Pennsylvania,Computer and Information Science,35000,1.45,2020-2021,2nd,computer science
Iowa State University (ISU),civil engineering,25104,1.18,2020-2021,1st,civil engineering
University of Iowa (UI),Civil and Environmental Engineering,29000,1.31,2020-2021,1st,civil and environmental engineering
Purdue University - West Lafayette,PULSe,25400,1.2,2020-2021,1st,pulse
Northwestern University (NU),NA,34000,1.4,2019-2020,3rd,NA
Ohio State University (OSU),Educational Studies and Human Ecology,26316,1.31,2020-2021,1st,educational studies and human ecology
Vanderbilt University,Health Policy,32000,1.39,2020-2021,1st,health
University of Nevada - Las Vegas (UNLV),Electrical and Computer Engineering,14500,0.64,2020-2021,3rd,computer science
University of Texas - Austin (UT),sociology,20000,0.88,2020-2021,1st,sociology
University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,30000,1.35,2020-2021,1st,biomedical engineering
University of Texas - Austin (UT),Economics,20000,0.88,2020-2021,1st,economics
University of Michigan - Ann Arbor (UM),Macromolecular Science and Engineering,33000,1.43,2020-2021,1st,macromolecular science and engineering
University of Miami (UM),Business,32225,1.35,2020-2021,1st,business
University of Southern California (USC),Molecular and Computational Biology,31898,1.23,2019-2020,5th,biology
University of Southern California (USC),Molecular and Computational Biology,31904,1.23,2018-2019,4th,biology
University of Southern California (USC),Molecular and Computational Biology,29904,1.16,2017-2018,3rd,biology
University of Southern California (USC),Molecular and Computational Biology,29874,1.15,2016-2017,2nd,biology
University of Southern California (USC),Molecular and Computational Biology,29885,1.15,2015-2016,1st,biology
Pennsylvania State University (Penn State),Anthropology,30000,1.34,2019-2020,1st,anthropology
Princeton University,Politics,35500,1.4,2020-2021,1st,politics
North Carolina State University (NCSU),Chemistry,23500,1.03,2020-2021,1st,chemistry
University of South Carolina (USC),Chemistry,26000,1.15,2020-2021,1st,chemistry
Northwestern University (NU),Chemistry,33504,1.38,2020-2021,1st,chemistry
University of Georgia (UGA),Institute of Bioinformatics,23447,1.11,2020-2021,6th and up,institute of bioinformatics
Northwestern University (NU),Materials Science and Engineering,33504,1.38,2020-2021,1st,materials science and engineering
University of California - Berkeley,Materials Science and Engineering,35485,1.28,2020-2021,1st,materials science and engineering
Stanford University (SU),Materials Science and Engineering,43000,1.5,2020-2021,1st,materials science and engineering
Princeton University,political science,35500,1.4,2020-2021,1st,political science
Dartmouth College,Psychological & Brain Sciences,31080,1.25,2020-2021,1st,psychology
University of Chicago (UC),Divinity/PhD,29752,1.23,2020-2021,1st,divinity/phd
University of Virginia (UVA),Materials Science and Engineering,25000,1.09,2020-2021,2nd,materials science and engineering
University of Tulsa (TU),Mechanical Engineering,25875,1.3,2019-2020,2nd,mechanical engineering
University of Pennsylvania,Electrical and Systems Engineering,35000,1.45,2020-2021,1st,electrical and systems engineering
Sam Houston State University,Criminal Justice,25100,1.25,2020-2021,1st,criminology
University of Pennsylvania,BMB,35500,1.47,2020-2021,1st,bmb
University of California - San Diego (UCSD),Chemistry,34000,1.28,2020-2021,3rd,chemistry
University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering,26400,1.2,2020-2021,1st,computer science
University of California - San Diego (UCSD),VisualArts,17239,0.65,2020-2021,1st,visualarts
Cornell University (CU),Chemistry,36306,1.5,2020-2021,1st,chemistry
Rice University,Bioengineering,31075,1.42,2020-2021,1st,bioengineering
Cleveland State University (CSU),"biological, geological, and environmental sciences",21000,1.05,2020-2021,1st,geoscience
University of Southern California (USC),ECE,31900,1.23,2020-2021,1st,ece
Duquesne University (DU),Pharmacology,23000,1.11,2020-2021,1st,pharmacycology
Medical University of South Carolina,Biomedical Data Science and Informatics,29000,1.21,2020-2021,1st,biomedical data science and informatics
Columbia University (CU),Economics,41000,1.38,2020-2021,1st,economics
New York University (NYU),Economics,26000,0.87,2020-2021,1st,economics
Northwestern University (NU),Economics,33500,1.38,2020-2021,1st,economics
Virginia Tech,Electrical Engineering,23000,1.09,2020-2021,1st,electrical engineering
University of California - San Diego (UCSD),Neuroscience,34500,1.3,2020-2021,1st,neuro
Georgetown University,Biology,33000,1.07,2020-2021,3rd,biology
Northwestern University (NU),History,32500,1.34,2020-2021,1st,history
University of Oklahoma (OU),Data Science and Analytics,19000,0.94,2020-2021,1st,data science and analytics
CUNY - Hunter College,Biology,29872,1,2018-2019,2nd,biology
CUNY - Hunter College,BIOLOGY,34757,1.17,2019-2020,3rd,biology
Texas Tech University (TTU),Chemical Engineering,24000,1.18,2020-2021,1st,chemical engineering
Louisiana State University - Baton Rouge,Chemical Engineering,25000,1.15,2020-2021,1st,chemical engineering
Dartmouth College,Molecular and Cellular Biology,30324,1.22,2019-2020,1st,biology
University of North Texas Health Science Center,Biomedical Sciences,26185,1.2,2020-2021,1st,biomedical sciences
Georgetown University,Biochemistry,31000,1,2020-2021,2nd,chemistry
Duke University (DU),Mechanical Engineering and Materials Science,32400,1.46,2020-2021,1st,mechanical engineering and materials science
Michigan Technological University (MTU),Mechanical Engineering,29000,1.43,2020-2021,4th,mechanical engineering
Northern Arizona University (NAU),Ecosystem Sci & Society Ctr,27500,1.18,2020-2021,1st,ecosystem sci & society ctr
Brown University,Hispanic studies,29800,1.31,2019-2020,1st,hispanic studies
University of Maryland - College Park (UMD),economics,22161,0.73,2020-2021,1st,economics
Tulane University (TU),Political Science,22484,0.98,2020-2021,1st,political science
Florida State University (FSU),Political Science,22000,0.94,2020-2021,1st,political science
Purdue University - West Lafayette,Chemistry,23650,1.12,2020-2021,NA,chemistry
University of California - San Diego (UCSD),Political  Science,27012,1.02,2020-2021,1st,political  science
Baylor University (BU),Physics,26600,1.34,2020-2021,1st,physics
Baylor University (BU),Physics,28600,1.44,2020-2021,1st,physics
Columbia University (CU),Ceem,39155,1.32,2020-2021,2nd,ceem
University of Wisconsin - Madison (UW),Engineering Physics,26000,1.14,2020-2021,1st,physics
University of California - Berkeley,Political Science,36000,1.3,2019-2020,1st,political science
Illinois State University (ISU),structural engineering,24000,1.06,2020-2021,6th and up,structural engineering
University of California - Los Angeles (UCLA),Chemical Engineering,32000,1.24,2020-2021,1st,chemical engineering
University of Texas - Austin (UT),Biomedical Engineering,32000,1.4,2020-2021,5th,biomedical engineering
University of Southern California (USC),Environmental Engineering,32000,1.24,2020-2021,1st,environmental engineering
Northwestern University (NU),Materials Science & Engineering,33570,1.38,2020-2021,1st,materials science & engineering
University of Florida (UF),Interdiciplinary Ecology,25000,1.1,2020-2021,1st,interdiciplinary ecology
University of California - Berkeley,IDI,36000,1.3,2020-2021,NA,idi
Northeastern University (NU),Electrical and Computer Engineering,34200,1.19,2019-2020,1st,computer science
University of California - Santa Barbara (UCSB),NA,29000,1.1,2020-2021,NA,NA
University of California - Santa Barbara (UCSB),NA,29000,1.1,2020-2021,1st,NA
Vanderbilt University,Biological and Biomedical Sciences/IGP/Human Genetics,33000,1.44,2019-2020,1st,biology
University of Central Florida (UCF),Statistics,18000,0.78,2020-2021,1st,statistics
University of Chicago (UC),Biosciences/Human Genetics,33652,1.39,2020-2021,1st,biology
University of California - Berkeley,Computational Biology,37750,1.36,2020-2021,1st,biology
Dartmouth College,molecular and cellular biology,30000,1.21,2017-2018,5th,biology
Duke University (DU),ECE,32400,1.46,2020-2021,1st,ece
Montana State University (MSU),Chemistry and Biochemistry,25000,1.19,2020-2021,NA,chemistry
University of California - Berkeley,Graduate School of Education,29000,1.04,2020-2021,NA,graduate school of education
Arizona State University (ASU),NA,17100,0.77,2020-2021,1st,NA
University of California - San Diego (UCSD),Clinical Psychology,25320,0.96,2020-2021,1st,psychology
University of Illinois - Urbana- Champaign (UIUC),Environmental Engineering,34500,1.57,2020-2021,1st,environmental engineering
University of Texas - Dallas (UTD),Mechanical Engineering,22400,1.04,2020-2021,1st,mechanical engineering
University of Florida (UF),Civil and Coastal engineering,25800,1.14,2020-2021,1st,civil and coastal engineering
Vanderbilt University,Earth and Environmental Science,29500,1.28,2020-2021,NA,geoscience
University of Virginia (UVA),BIOMEDICAL ENGINEERING,30500,1.34,2020-2021,NA,biomedical engineering
University of Arkansas - Fayetteville,Geosciences,25100,1.26,2020-2021,1st,geoscience
University of Minnesota - Twin Cities (UM),Developmental Psychology,23000,1,2020-2021,2nd,psychology
University of Pennsylvania,Chemical and Biomolecular Engineering,34000,1.41,2019-2020,1st,chemical and biomolecular engineering
Brigham Young University (BYU),Chemistry and Biochemistry,25000,1.21,2019-2020,2nd,chemistry
Cornell University (CU),Chemistry,36360,1.5,2020-2021,NA,chemistry
University of Minnesota - Twin Cities (UM),pharmaceutics,22500,0.98,2020-2021,2nd,pharmacyceutics
